epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3072,4.04521,22.1341,1.34613,0,0,0,0,3.53063,14.3775,1.17352,8e-05,8e-05,8e-05
2,59.4285,3.09708,16.4677,1.05827,0,0,0,0,3.43961,12.3768,1.08933,0.000176436,0.000176436,0.000176436
3,86.1792,3.2297,13.9504,1.04765,0.00027,0.08,0.00019,6e-05,3.01166,11.8272,1.05732,0.000268912,0.000268912,0.000268912
4,111.99,3.17739,11.031,0.98797,0.00027,0.08,0.0002,6e-05,3.19146,12.4452,1.08932,0.000357428,0.000357428,0.000357428
5,140.54,3.09465,11.1445,0.94385,0.00027,0.08,0.00021,5e-05,3.15226,14.3976,1.14156,0.000441984,0.000441984,0.000441984
6,164.787,2.89539,9.12581,0.95096,0.00027,0.08,0.00021,6e-05,3.15837,14.4641,1.13457,0.00052258,0.00052258,0.00052258
7,188.736,2.83891,9.20384,0.91874,0,0,0,0,3.07367,14.4262,1.12367,0.000599216,0.000599216,0.000599216
8,213.425,2.79054,7.75454,0.93553,0,0,0,0,3.19042,12.9155,1.12709,0.000671892,0.000671892,0.000671892
9,239.272,3.08391,8.17539,0.94044,0,0,0,0,3.13437,36.9261,1.09623,0.000740608,0.000740608,0.000740608
10,264.804,2.78277,8.50099,0.96104,0,0,0,0,3.12089,23.8629,1.05716,0.000805364,0.000805364,0.000805364
11,290.276,3.16751,7.44,0.97692,0.00027,0.08,0.00015,7e-05,3.06187,43.1331,1.03561,0.00086616,0.00086616,0.00086616
12,314.223,2.82349,7.9299,0.96975,0.0004,0.12,0.00026,0.00015,3.0073,10.5599,1.04424,0.000922996,0.000922996,0.000922996
13,337.859,3.02411,7.70892,0.94597,0.0008,0.24,0.00055,0.00025,2.82793,9.53036,1.00344,0.000975872,0.000975872,0.000975872
14,361.889,2.78046,6.04644,0.96505,0.00133,0.4,0.03688,0.01827,2.81906,8.28088,1.00752,0.00102479,0.00102479,0.00102479
15,386.096,2.8512,7.11054,0.93868,0.0012,0.36,0.00147,0.00064,2.96128,8.21428,1.04236,0.00106974,0.00106974,0.00106974
16,410.061,2.97087,7.39885,0.97872,0.00133,0.4,0.00156,0.00045,2.901,8.28075,1.03028,0.00111074,0.00111074,0.00111074
17,434.116,2.91247,6.37233,0.88443,0.0012,0.36,0.0775,0.04585,2.65168,7.99633,0.98595,0.00114778,0.00114778,0.00114778
18,457.779,2.89648,5.84446,1.01482,0.0016,0.48,0.15306,0.05686,2.76314,7.38693,0.99581,0.00118085,0.00118085,0.00118085
19,482.08,2.86427,6.90972,0.97,0.0016,0.48,0.07624,0.02144,2.88416,7.29259,1.00799,0.00120997,0.00120997,0.00120997
20,506.544,2.95264,6.75618,0.94439,0.00187,0.56,0.08851,0.02645,3.26177,6.95716,1.06647,0.00123512,0.00123512,0.00123512
21,533.006,2.66148,5.4238,0.91676,0.71161,0.12,0.26168,0.07545,3.22145,6.62347,1.0577,0.001208,0.001208,0.001208
22,558.406,2.59296,5.59667,0.93992,0.91101,0.41013,0.50739,0.14415,2.95265,5.77089,1.00812,0.0011684,0.0011684,0.0011684
23,584.112,2.40498,4.80736,0.92766,0.44226,0.32,0.33619,0.11369,2.88459,5.67582,1.00288,0.0011288,0.0011288,0.0011288
24,611.573,2.58797,5.4319,0.92123,0.79792,0.31626,0.35615,0.09541,3.3507,5.70086,1.02894,0.0010892,0.0010892,0.0010892
25,637.424,2.54428,5.13439,0.91878,0.75102,0.36213,0.33269,0.08333,3.449,5.60781,1.03176,0.0010496,0.0010496,0.0010496
26,664.088,2.48902,4.83026,0.92856,0.66509,0.36,0.28513,0.06652,3.49089,5.83862,1.0347,0.00101,0.00101,0.00101
27,690.81,2.71801,5.00472,0.95869,0.65756,0.36,0.30311,0.07346,3.2615,6.11797,1.00991,0.0009704,0.0009704,0.0009704
28,717.166,2.51991,4.79243,0.89841,0.85032,0.4,0.49592,0.1447,2.89923,6.6832,0.99153,0.0009308,0.0009308,0.0009308
29,744.518,2.46976,4.84176,0.90237,1,0.46636,0.54058,0.15846,2.88992,6.78757,0.98967,0.0008912,0.0008912,0.0008912
30,771.268,2.45139,4.18859,0.91592,0.91082,0.52,0.48034,0.12975,2.96856,5.19912,1.00008,0.0008516,0.0008516,0.0008516
31,797.362,2.34335,4.74091,0.9235,0.91175,0.52,0.48067,0.13928,2.9696,4.8137,0.99416,0.000812,0.000812,0.000812
32,823.041,2.53784,4.31151,0.93737,0.92087,0.52,0.50685,0.15469,2.87729,4.49727,0.99552,0.0007724,0.0007724,0.0007724
33,848.764,2.52071,4.91811,0.89276,1,0.55951,0.57427,0.1384,2.84728,4.46406,0.99705,0.0007328,0.0007328,0.0007328
34,875.438,2.59839,4.09974,0.87732,1,0.55611,0.57775,0.15579,2.8482,4.47345,0.99569,0.0006932,0.0006932,0.0006932
35,901.212,2.4408,4.38034,0.89869,0.92827,0.51779,0.55161,0.15646,2.85959,4.42638,0.98814,0.0006536,0.0006536,0.0006536
36,927.316,2.45649,4.06728,0.8722,0.92851,0.52,0.56598,0.18593,2.6532,4.14933,0.97263,0.000614,0.000614,0.000614
37,953.915,2.43053,4.28841,0.891,0.99543,0.56,0.62292,0.1934,2.63015,4.04614,0.97084,0.0005744,0.0005744,0.0005744
38,979.564,2.47076,3.49412,0.92445,0.99339,0.56,0.62016,0.19282,2.66972,3.9812,0.97449,0.0005348,0.0005348,0.0005348
39,1006.06,2.43841,3.79198,0.9172,0.99213,0.56,0.60165,0.19942,2.7457,3.95134,0.97975,0.0004952,0.0004952,0.0004952
40,1032.18,2.45545,4.02368,0.89591,0.99078,0.56,0.60094,0.20216,2.68865,3.88882,0.97982,0.0004556,0.0004556,0.0004556
41,1058.26,2.12318,4.08242,0.92492,0.92062,0.52,0.55766,0.20166,2.64479,3.81379,0.98105,0.000416,0.000416,0.000416
42,1084.73,2.18109,4.15226,0.88143,0.92223,0.52,0.56599,0.20005,2.56593,3.79628,0.96901,0.0003764,0.0003764,0.0003764
43,1110.88,2.10395,4.83547,0.87378,0.92409,0.52,0.56152,0.18787,2.58544,3.82463,0.968,0.0003368,0.0003368,0.0003368
44,1136.66,2.20765,4.12134,0.91753,0.92855,0.51987,0.55063,0.16895,2.74382,3.91208,0.98201,0.0002972,0.0002972,0.0002972
45,1161.72,2.13927,3.95234,0.89209,0.92842,0.51886,0.55025,0.16143,2.76071,3.90683,0.98371,0.0002576,0.0002576,0.0002576
46,1187.03,2.30249,4.50793,0.902,0.92829,0.51792,0.54798,0.16667,2.75367,3.89043,0.98417,0.000218,0.000218,0.000218
47,1212.62,2.21896,4.34415,0.87684,0.92817,0.51706,0.57373,0.18209,2.71687,3.86047,0.98107,0.0001784,0.0001784,0.0001784
48,1239.15,2.1419,4.47408,0.84593,0.92796,0.51553,0.5366,0.17741,2.67875,3.81069,0.97815,0.0001388,0.0001388,0.0001388
49,1265.33,2.10774,3.55925,0.9139,0.92793,0.51533,0.53695,0.17734,2.67,3.78369,0.97816,9.92e-05,9.92e-05,9.92e-05
50,1290.83,2.12236,4.14518,0.879,0.91591,0.48,0.53369,0.17594,2.66859,3.76623,0.97824,5.96e-05,5.96e-05,5.96e-05
