epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4798,3.60296,18.4925,1.20659,0.0002,0.05882,0.00011,3e-05,2.69796,10.1294,0.94871,0.00024,0.00024,0.00024
2,140.052,3.0851,10.8998,1.06813,0.00039,0.11765,0.00033,5e-05,2.55754,8.91518,0.92603,0.0004901,0.0004901,0.0004901
3,207.03,3.00806,8.63554,1.0296,0.0002,0.05882,0.00011,2e-05,2.82994,8.85215,0.93787,0.000729904,0.000729904,0.000729904
4,275.96,3.10027,8.00405,1.0306,0.00127,0.38235,0.00115,0.00039,2.77627,7.15013,0.94194,0.000959412,0.000959412,0.000959412
5,345.161,2.88256,6.20623,0.99806,0.00176,0.52941,0.00176,0.00052,2.61877,7.19924,0.97489,0.00117862,0.00117862,0.00117862
6,410.484,2.84497,6.29083,0.97514,0.0023,0.69118,0.17501,0.05914,2.57346,6.1496,0.93367,0.00138754,0.00138754,0.00138754
7,475.069,2.75075,5.62857,0.98426,0.88679,0.11542,0.43147,0.16778,2.34912,4.88898,0.91277,0.00158616,0.00158616,0.00158616
8,542.069,2.73637,5.20684,0.97003,0.04041,0.38235,0.02954,0.01011,2.14119,11.5298,0.91069,0.0017228,0.0017228,0.0017228
9,608.94,2.78906,5.02761,0.9722,0.73643,0.35294,0.46492,0.16704,2.2741,3.88579,0.92205,0.0016832,0.0016832,0.0016832
10,676.091,2.73086,4.62549,0.97811,0.75229,0.40205,0.4301,0.10153,2.92168,4.2762,1.00469,0.0016436,0.0016436,0.0016436
11,743.044,2.77372,4.3239,0.98858,0.79092,0.33388,0.37903,0.10408,2.94736,4.39052,1.02939,0.001604,0.001604,0.001604
12,808.392,2.83393,4.41294,0.98744,0.71442,0.25767,0.31869,0.09678,2.53285,3.83827,0.9646,0.0015644,0.0015644,0.0015644
13,873.562,2.82992,3.64038,0.98238,0.80356,0.44118,0.49639,0.14537,2.57929,3.54597,0.94929,0.0015248,0.0015248,0.0015248
14,938.461,2.63951,3.54181,0.95515,0.89178,0.60595,0.70112,0.23526,2.31988,3.0324,0.91246,0.0014852,0.0014852,0.0014852
15,1003.55,2.80483,3.36601,0.95381,0.88411,0.67647,0.70541,0.24442,2.23106,2.83814,0.8962,0.0014456,0.0014456,0.0014456
16,1067.72,2.63852,3.26403,0.95749,0.83631,0.60109,0.64119,0.24975,2.44314,2.76697,0.90478,0.001406,0.001406,0.001406
17,1131.21,2.77334,3.00302,0.98655,0.74601,0.60294,0.63101,0.20158,2.45108,2.75238,0.89655,0.0013664,0.0013664,0.0013664
18,1195.47,2.66779,3.06888,0.9536,0.78099,0.5769,0.63655,0.20642,2.25981,2.71529,0.87035,0.0013268,0.0013268,0.0013268
19,1259.9,2.6105,2.93154,0.94367,0.89561,0.63087,0.72458,0.28112,2.21778,2.37584,0.86831,0.0012872,0.0012872,0.0012872
20,1324.4,2.68821,2.67018,0.93119,0.78773,0.69118,0.73307,0.25464,2.14772,2.27852,0.86254,0.0012476,0.0012476,0.0012476
21,1389.01,2.47298,2.61443,0.92106,0.84562,0.70588,0.74915,0.26706,2.17156,2.2591,0.86587,0.001208,0.001208,0.001208
22,1454.02,2.36611,2.3108,0.90418,0.87192,0.69118,0.7756,0.30431,2.04886,2.2007,0.85734,0.0011684,0.0011684,0.0011684
23,1519.03,2.52244,2.32014,0.91843,0.7288,0.04038,0.07472,0.02123,3.26118,4.32976,1.0722,0.0011288,0.0011288,0.0011288
24,1583.49,2.30847,2.17974,0.89101,0.00182,0.05882,0.00102,0.00031,4.04192,5.4572,1.23348,0.0010892,0.0010892,0.0010892
